,Unnamed: 0,Res.,Ref.,Update,Notes,Status,Dropoff,Day,Dropoff Date,Time,Pickup,Pickup Date,Time_c13,# Days,Category,Vehicle,Colour,Items,Insurance,Departure,Next Rental,RCM_Rego,Pickup Date Time,Dropoff Date Time,CarID,adminfeeamt
52,61,39387,4984138318,1,1,Returned,SYD,1,2/08/2024,1:15:00,SYD,29/07/2024,11:15:00,1,Small SUV,5848180,White,1,1,1,1,S667CVF,29/07/2024 11:15:00 AM,2/08/2024 1:15:00 PM,349,2.95
53,62,40101,1,1,1,Returned,SYD,1,2/08/2024,1:20:00,SYD,31/07/2024,11:50:00,1,Economy,232207917427,White,1,1,1,1,DK99HX,31/07/2024 11:50:00 AM,2/08/2024 1:20:00 PM,868,2.95
54,63,41098,IM44133234,1,1,Returned,SYD,1,2/08/2024,1:40:00,SYD,29/07/2024,1:20:00,1,Economy,232207816421,White,1,1,1,1,DK97HX,29/07/2024 1:20:00 PM,2/08/2024 1:40:00 PM,957,2.95
55,64,40269,1,1,1,Returned,SYD,1,2/08/2024,2:15:00,SYD,28/07/2024,8:40:00,1,Compact SUV,5848142,White,1,1,1,1,FBF17A,28/07/2024 8:40:00 PM,2/08/2024 2:15:00 PM,415,2.95
56,65,41794,1006183326,1,1,Returned,SYD,1,2/08/2024,1:45:00,SYD,1/08/2024,9:15:00,1,Mini,5849931,White,1,1,1,1,FBU81J,1/08/2024 9:15:00 AM,2/08/2024 1:45:00 PM,527,2.95
57,66,40872,IM44123204,1,1,Returned,SYD,1,2/08/2024,2:30:00,SYD,1/08/2024,12:30:00,1,Economy,232207920025,White,1,1,1,1,DK92HX,1/08/2024 12:30:00 PM,2/08/2024 2:30:00 PM,848,2.95
58,68,41604,DC-8477098,1,1,Returned,SYD,1,2/08/2024,3:00:00,SYD,31/07/2024,7:35:00,1,Family SUV 5 Seater,232208016625,White,1,1,1,1,DJ72YC,31/07/2024 7:35:00 PM,2/08/2024 3:00:00 PM,629,2.95
59,69,40479,IM44104364,1,1,Returned,SYD,1,2/08/2024,3:10:00,SYD,2/08/2024,9:20:00,1,Mini,5849970,White,1,1,1,1,EZP24E,2/08/2024 9:20:00 AM,2/08/2024 3:10:00 PM,368,2.95
60,70,36443,DC-8200044,1,1,Returned,SYD,1,2/08/2024,3:25:00,SYD,30/07/2024,9:35:00,1,Family SUV 5 Seater,5849955,White,1,1,1,1,DJ71YC,30/07/2024 9:35:00 AM,2/08/2024 3:25:00 PM,633,2.95
61,71,34141,771331734,1,1,Returned,SYD,1,2/08/2024,3:55:00,SYD,31/07/2024,10:45:00,1,Compact SUV,232207812420,White,1,1,1,1,S670DAX,31/07/2024 10:45:00 AM,2/08/2024 3:55:00 PM,895,2.95
62,72,41936,IM44176534,1,1,Returned,SYD,1,2/08/2024,4:10:00,SYD,2/08/2024,12:30:00,1,Medium Sedan,232207911420,White,1,1,1,1,S650CZY,2/08/2024 12:30:00 PM,2/08/2024 4:10:00 PM,838,2.95
63,73,40914,1,1,1,Returned,SYD,1,2/08/2024,4:30:00,SYD,29/07/2024,8:25:00,1,Family SUV 5 Seater,5849947,White,1,1,1,1,DJ68YC,29/07/2024 8:25:00 AM,2/08/2024 4:30:00 PM,625,2.95
64,74,35964,777853839,1,1,Returned,SYD,1,2/08/2024,4:50:00,SYD,16/07/2024,11:10:00,1,Medium SUV,5849975,White,1,1,1,1,FBF07S,16/07/2024 11:10:00 AM,2/08/2024 4:50:00 PM,530,2.95
65,75,40558,8251864528,1,1,Returned,SYD,1,2/08/2024,4:50:00,SYD,28/07/2024,5:00:00,1,Mini,5849928,White,1,1,1,1,EZP24H,28/07/2024 5:00:00 PM,2/08/2024 4:50:00 PM,366,2.95
66,76,41423,IM44147594,1,1,Returned,SYD,1,2/08/2024,4:50:00,SYD,1/08/2024,9:15:00,1,Large Sedan,5848109,White,1,1,1,1,EZE18P,1/08/2024 9:15:00 AM,2/08/2024 4:50:00 PM,391,2.95
67,77,39790,1,1,1,Returned,SYD,1,2/08/2024,5:00:00,SYD,30/07/2024,12:40:00,1,Medium SUV,5848195,White,1,1,1,1,S161CRO,30/07/2024 12:40:00 PM,2/08/2024 5:00:00 PM,72,2.95
68,78,41512,1,1,1,Returned,SYD,1,2/08/2024,5:15:00,SYD,30/07/2024,9:30:00,1,Economy,232207813428,White,1,1,1,1,DK78SG,30/07/2024 9:30:00 AM,2/08/2024 5:15:00 PM,963,2.95
69,79,39995,5926690909,1,1,Returned,SYD,1,2/08/2024,5:35:00,SYD,1/08/2024,10:45:00,1,Compact SUV,5848099,White,1,1,1,1,EZP21S,1/08/2024 10:45:00 AM,2/08/2024 5:35:00 PM,379,2.95
70,80,41820,IM44171054,1,1,Returned,SYD,1,2/08/2024,5:30:00,SYD,1/08/2024,10:00:00,1,Small SUV,5848114,White,1,1,1,1,S665CVF,1/08/2024 10:00:00 AM,2/08/2024 5:30:00 PM,340,2.95
71,81,41793,1,1,1,Returned,SYD,1,2/08/2024,6:00:00,SYD,1/08/2024,8:25:00,1,Mini,5849963,White,1,1,1,1,EZP24F,1/08/2024 8:25:00 PM,2/08/2024 6:00:00 PM,370,2.95
72,82,41861,1,1,1,Returned,SYD,1,2/08/2024,6:20:00,SYD,1/08/2024,6:45:00,1,Economy,232207911727,White,1,1,1,1,DI99DT,1/08/2024 6:45:00 PM,2/08/2024 6:20:00 PM,844,2.95
73,84,41183,DC-8458569,1,1,Returned,SYD,1,2/08/2024,7:25:00,SYD,2/08/2024,8:35:00,1,Economy,232207819128,White,1,1,1,1,DK77SG,2/08/2024 8:35:00 AM,2/08/2024 7:25:00 PM,961,2.95
74,85,38499,1,1,1,Returned,SYD,1,2/08/2024,8:30:00,SYD,31/07/2024,10:10:00,1,Family SUV 5 Seater,5848151,White,1,1,1,1,DJ69YC,31/07/2024 10:10:00 AM,2/08/2024 8:30:00 PM,624,2.95
